title,article_text,summary,article_date,source
"Lalaking nahulog mula sa Ferris wheel, patay","Patay ang isang lalaki matapos siyang mahulog mula sa tuktok ng Giant Star Wheel Ride ng Star City sa lungsod ng Pasay nitong Linggo ng gabi.    ""Nobody actually saw the person come from the giant wheel pero he was identified by our ride attendant na sumakay rin. Ni-rush namin sa ospital pero dead on arrival,"" sabi ni Attorney Rudolph Juralbal, tagapagsalita ng Star City, sa ulat ni Cedric Castillo sa GMA News ""24 Oras"" nitong Lunes.  Ayon sa ulat, nakilala na ang biktima dahil sa company ID na nakuha mula sa kanya. Nakipag-ugnayan na raw ang pamilya ng biktima sa pamunuan ng Star City at sa pulisya.  Nagbigay na rin daw ng tulong pinansiyal ang amusement park sa mga naulila ng lalaki.  Sa imbestigasyon ng Pasay police, napag-alaman na baklas ang parisukat na acrylic panel sa isang bahagi ng gondola number 23 ng nasabing Ferris wheel na may taas na 60 metro.  Posible umanong nagpumilit lumabas mula sa gondola ang biktima dahil ang kalapit raw na panel nito ay may crack at bahagyang nakausli ang basag na bahagi.  Bahagya rin umanong nakaunat ang grills ng bintana.  ""Nakita ng mga probers natin na 'yung gondola may dalawang screen sa taas, sa baba parang may salamin. 'Yun yung binaklas, probably doon tumalon... talagang pinuwersang buksan and according doon sa mga ride attendants, nagsosolo lang itong biktima,"" sabi ni Police Senior Superintendent Noel Flores, hepe ng Pasay police.  Dahil sa insidente, suspendido ang operasyon ng nasabing Ferris wheel.  Sa kabila nito, nanindigan pa rin ang pamunuan ng Star City na pasado sa international safety standards ang nasabing ride.  ""The ride has been purchased from Japan. Every year, in fact twice a year, the ride is inspected by a safety inspector from California. Even the gondolas are very safe in the sense na mahirap lumabas diyan,"" sabi ni Juralbal.  Dagdag ni Juralbal, pag-aaralan nila kung may dapat bang baguhin sa disenyo nito.  ""Every time you make modifications on its design it can render the ride by its modification unsafe also... So we have to consult our safety engineers and consultants on what modifications, if any, can be done,"" sabi ni Juralbal. —",Patay ang isang lalaki matapos siyang mahulog mula sa tuktok ng Giant Star Wheel Ride ng Star City sa lungsod ng Pasay nitong Linggo ng gabi.,"Hulyo 9, 2018 8:58pm GMT+08:00",https://www.gmanetwork.com/news/balitambayan/balita/659778/lalaking-nahulog-mula-sa-ferris-wheel-patay/story/
Construction worker na ginahasa at pinagnakawan pa umano ang Grade 9 na estudyante arestado,"Construction worker, arestado matapos gahasain ang isang Grade 9 student sa Brgy. Masambong Quezon City. Nakilala ang suspek dahil sa suot na shorts at kuha ng CCTV.          Arestado ang isang construction worker na umano'y ginahasa at pinagnakawan pa ang isang Grade 9 student sa Barangay Masambong, Quezon City, ayon sa ulat ni James Agustin sa Unang Balita nitong Miyerkoles.  Naaresto ang suspek na si Randy Depra, 46, sa tulong ng CCTV footage at ng ginamit niyang shorts.  Kwento ng tiyahin ng 14-anyos na biktima, kasagsagan ng ulan kahapon ng madaling araw nang pasukin ng suspek ang bahay.  Ang tatlong babaeng magkakapatid lang ang naiwan sa bahay noon.  Dumiretso raw ang suspek sa kwarto, tinutukan ng baril sa ulo ang biktima at may dala pa siyang cutter.  ""Tapos una nung pinagbalingan siya, tinutukan siya ng baril sa sentido. Tapos nung time na 'yun, meron pa siyang hawak na patalim na cutter,"" ayon sa tiyahin ng biktima.  At dito na daw hinawakan ng suspek ang biktima. Huminto lang ang suspek nang sabihin ng biktima na pulis ang kanyang ama na nasa kabilang kuwarto.  Bago umalis ang suspek, kinuha nito ang higit P300 allowance ng biktima at pagkatapos ay tinakpan pa niya ang bibig ng biktima, ginapos, at pinagbantaang papatayin siya.  Sa kuha ng CCTV, kita na inaayos pa ng suspek ang kanyang shorts habang palayo sa bahay.  Ayon sa mga pulis, nang magsumbong ang biktima ay napag-alaman nilang may tatlong lalaking nag-iinuman sa tapat ng bahay bago mangyari ang insidente.  Doon nagtatrabaho ang suspek bilang construction worker.  Nagkasa agad ng follow-up operation ang mga pulis.  ""Kasi kinunan namin siya ng statement at ayun nga ang sinabi niya nung gabi na 'yun naghatid itong bata ng classmate niya sa daan at itong mga ito nag-inuman sa daan at parang kinat-call sila that is why nagmamadali itong bata umuwi,"" sabi ni Masambong Police Station Superintendent Rodrigo Soriano.  Ilang beses na rin daw binastos ng suspek ang biktima.  Positibong kinilala ng biktima ang suspek dahil sa shorts na suot nito.  Napag-alaman na dati nang may kasong frustrated murder and suspek at miyembro siya ng Sputnik Gang.  Napaluhod na lang ang suspek habang humihingi ng tawad sa mga kaanak ng biktima sa police station.  Pero itinanggi ng suspek na ginahasa niya ang biktima at wala rin daw siyang baril.  Mahaharap ang suspek sa kasong rape with robbery.",,"Hulyo 11, 2018 5:57am GMT+08:00",https://www.gmanetwork.com/news/balitambayan/balita/659976/construction-worker-na-ginahasa-at-pinagnakawan-pa-umano-ang-grade-9-na-estudyante-arestado/story/
"2 miyembro umano 'basag-kotse' na nambiktima ng TNVS driver, napatay ng mga pulis","Patay ang riding-in-tandem na nambasag umano ng kotse ng isang TNVS driver matapos na manlaban daw sa mga awtoridad sa Quezon City.    Sa ulat ni Victoria Tulad sa GMA News ""Balitanghali"" nitong Martes, sinabing nangyari ang insidente sa Brgy. Old Balara pasado hatinggabi, habang naghihintay ng pasahero ang Grab driver sa Capitol Hills.  ""Akala ko talaga iihi lang siya kasi madilim 'yung area. Hindi niya yata napansin na may tao sa loob. Tapos nagulat na lang ako nu'ng biglang kumalabog na 'yung sa likod nu'ng sasakyan ko. Tapo sinigawan ko sila, 'yun kumaripas na sila ng takbo,"" sabi ng driver.  Tiyempo namang kumakain sa malapit na convenience store ang isang pulis na rumesponde sa kaguluhan.  ""Nu'ng nagpakilala po ako na pulis 'yung isa po 'yung nasa likod 'yung bumaba, 'yun po ang bumaril sakin,"" sabi ni PO2 Rino Agader.  Nagawa pa ring makatakas ang dalawa ngunit nahabol sila at binaril ng mga pulis na nagsasagawa ng Oplan Sita sa lugar.  Dalawang baril na kalibre .38, limang sachet ng hinihinalang shabu at mga drug paraphernalia ang nakuha umano sa mga suspek na hindi pa tukoy ang pagkakakilanlan.  Sinabi ni C/Supt. Joselito Esquivel, District Director ng QCPD, na ilang insidente na ng basag kotse ang nangyari sa Quezon City, kung saan nakahuli sila kamakailan ng anim na suspek, na kinabibilangan ng dalawang babae.  ""May kaniya-kaniya silang MO [modus operandi]. 'Yung iba may kasamang babae akala mo lang na tatayo-tayo sa may kotse mo, parang nagme-makeup o nagsusuklay, pero actually vine-verify 'yung sasakyan mo kung meron kang naiwan,"" sabi ni Esquivel.  Nagpaalala ang mga pulis na huwag magpa-park sa madilim na lugar.  Iwasan ding mag-iwan ng mga gamit sa sasakyan, tulad ng mga wallet, cellphone at laptop.  Siguraduhin ding naka-lock ang kotse at palagyan rin ito ng alarm.  Kamakailan, nabiktima ng basag-kotse ang aktres na si Patricia Javier. --",Patay ang riding-in-tandem na nambasag umano ng kotse ng isang TNVS driver matapos na manlaban daw sa mga awtoridad sa Quezon City.,"Hulyo 10, 2018 7:09pm GMT+08:00",https://www.gmanetwork.com/news/balitambayan/balita/659919/2-miyembro-umano-basag-kotse-na-nambiktima-ng-tnvs-driver-napatay-ng-mga-pulis/story/
"2 miyembro ng 'basag-kotse' na nambiktima sa aktres na si Patricia Javier, nakalusot sa police ops","Sinalakay ng mga awtoridad ang sinasabing lugar ng mga sangkot umano sa pagnanakaw ng mga motorsiklo at ""basag-kotse gang"" sa Antipolo City, Rizal na kinabibilangan ng mga nambiktima sa aktres na si Patricia Javier.    Sa ulat ni Emil Sumangil sa GMA News ""Balitanghali"" nitong Martes, sinabing ni-raid ng pinagsanib-puwersa ng Antipolo Police at PNP Highway Patrol Group ang Sitio Imbornal na sakop ng Barangay Mayamot sa Antipolo, at kasama rin ang SWAT at Public Safety Battalion.  Base sa impormasyon na natanggap umano ng pulisya, nasa lugar ang mga sangkot umano sa motorcycle theft at ang miyembro ng basag-kotse gang na kinabibilangan ng nambiktima kay Patricia noong nakaraang linggo.  ""Si alyas 'Eric Bernal,' at si alyas 'Dagul,' dalawa ito na involved sa basag kotse,"" sabi ni C/Insp. Robert Santos, Deputy Chief of Police, Antipolo.  Gayunman, bigo ang mga awtoridad na madakip ang dalawa sa naturang operasyon.  Sa CCTV video na nakuha ng Antipolo Police, nakunan umano ang dalawa nang tangayin ang bag ng aktres matapos basagin ang salamin ng bintina ng sasakyan.  Sa video, una umanong lumapit si alyas Dagul sa parking lot kung saan nakaparada ang sasakyan ng aktres.  Hindi nakita ang aktuwal na pagbasag sa sasakyan ng aktres, ngunit matapos ang ilang minuto, dumating si alyas Bernal na nakasakay sa nakamotorsiklo at isinakay si Dagul na bitbit na ang bag ng aktres.  Patuloy ang operasyon ng mga awtoridad para mahanap ang dalawa.  Nagpaalala ang mga awtoridad na huwag nang mag-iwan ng mga mahahalagang gamit sa loob ng sasakyan.--","Sinalakay ng mga awtoridad ang sinasabing lugar ng mga sangkot umano sa pagnanakaw ng mga motorsiklo at ""basag-kotse gang"" sa Antipolo City, Rizal na kinabibilangan ng mga nambiktima sa aktres na si Patricia Javier.","Hulyo 10, 2018 6:37pm GMT+08:00",https://www.gmanetwork.com/news/balitambayan/balita/659909/2-miyembro-ng-basag-kotse-na-nambiktima-sa-aktres-na-si-patricia-javier-nakalusot-sa-police-ops/story/
"Lalaking nasiko sa siksikang bus, napikon at nanutok daw ng baril sa Bulacan","Hindi napigilan ng isang lalaki ang kaniyang galit nang tutukan niya umano ng baril ang isa pang pasahero na nakasiko sa kaniya sa siksikang bus sa Malolos, Bulacan.  Sa Unang Balita nitong Martes, makikita sa kuha ng isang YouScooper na takot na takot ang isang lalaking nakaitim at nakaupo sa damuhan habang kinokompronta siya ng lalaking naka-gray t-shirt at may hawak na baril.  Bago nito, sinabing nagkapikunan ang dalawa matapos ang pagkakasiko ng lalaking nakaitim sa lalaking may baril habang siksikan sa bus.  Huminto lang ang komprontasyon nang umawat na ang konduktor ng bus.  Bumalik sa sasakyan ang lalaking may baril, habang hindi na sumakay ang pasaherong kaniyang kinompronta.","Hindi napigilan ng isang lalaki ang kaniyang galit nang tutukan niya umano ng baril ang isa pang pasahero na nakasiko sa kaniya sa siksikang bus sa Malolos, Bulacan.","Hulyo 10, 2018 11:59am GMT+08:00",https://www.gmanetwork.com/news/balitambayan/balita/659840/lalaking-nasiko-sa-siksikang-bus-napikon-at-nanutok-daw-ng-baril-sa-bulacan/story/
"Tulak umano ng marijuana at 2 kasabwat na estudyante, huli sa buy-bust op sa QC","Arestado ang tulak umano ng marijuana at dalawang kasabwat na estudyante sa ikinasang buy-bust operation sa Aurora Blvd. sa Cubao, Quezon City, nitong Lunes ng gabi.  Ayon sa pulisya, online nagsimula ang transaksyon kung saan bumili ang operatiba ng Station Drug Enforcement Unit ng marijuana sa target na si Mark Joseph Hernandez.  Nakipagkita si Hernandez sa operatiba sa harapan ng convenience store at doon umano nagkaabutan ng item at perang nagkakahalaga ng P500.  Inaresto rin ang dalawang estudyante na kasamahan ni Hernandez kabilang na ang 16-anyos na high school student at isang nagngangalang Jerome Casquejo.  Nakuha sa kanila ang 250 gramo ng hinihinalang marijuana na may street value na P30,000  Ayon sa mga pulis, karamihan sa mga parokyano ng mga suspek ay mga estudyante.  Online daw ang transaksyon nila sa paniniwalang mas ligtas sila doon.  Aminado ang mga suspek na gumagamit ng marijuana pero hindi raw sila nagtutulak.  Mahaharap ang mga suspek sa kasong paglabag sa Comprehensive Dangerous Drugs Act of 2002. —","Arestado ang tulak umano ng marijuana at dalawang kasabwat na estudyante sa ikinasang buy-bust operation sa Aurora Blvd. sa Cubao, Quezon City, nitong Lunes ng gabi.","Hulyo 10, 2018 8:06am GMT+08:00",https://www.gmanetwork.com/news/balitambayan/balita/659814/tulak-umano-ng-marijuana-at-2-kasabwat-na-estudyante-huli-sa-buy-bust-op-sa-qc/story/
"Ama ng batang iniwan sa loob ng SUV, itinangging nag-iinuman silang mag-asawa nang sandaling iyon","Itinanggi ng ama ng batang makikita sa viral video post na iniwan sa loob ng isang nakaparadang SUV na nag-iinuman silang mag-asawa nang mga sandaling iyon.  Bagama't tumangging humarap sa kamera, isinalaysay ng ama sa GMA News ang mga pangyayari noong gabing iyon sa isang sikat na gimikan sa Ortigas.  Aniya, mag-aalas dos daw nang madaling araw nang dumating sila sa gimikan at tulog noon ang bata. Nagma-manage ng restaurant ang mag-asawa sa lugar at iniwan na muna ang bata sa sasakyan.  Dumating daw ang guard at sinabing gising na ang bata kaya agad itong pinuntahan ng asawa niya. Dinala ang bata sa restaurant ngunit inantok ulit ito matapos ang ilang oras.  ""So nung time na 'yun, nakaupo kami doon, nagkukwentuhan kami ni mam, siguro mga five minutes maya-maya dumating 'yung guard. Sabi niya gising 'yung bata,"" aniya.  Bago mag-alas kuwatro raw nang dinala ulit sa sasakyan ang bata para makatulog. Iniwan daw muna ito ng nanay dahil kakain ito saglit. Siniguro rin nila na may awang sa bintana ng SUV.  Sa ikalawang beses ay dumating ang guard at sinabing gising daw ang bata at umiiyak. Mayroon din daw isang lalaki na nagwawala sa gilid ng SUV.  Itinanggi rin ng ama ng bata na ilang oras na naiwan ang bata sa loob ng sasakyan gaya ng nakasaad sa viral na Facebook post.  ""Maya-maya 'andyan na naman 'yung guwardya. Sabi nung guwardya gising daw 'yung bata tapos may nagwawala na raw dun. Napi-picturan daw 'yung bata kasi nga matagal na raw dun pero sandaling-sandali lang 'yun,"" anang ama ng bata.",Itinanggi ng ama ng batang makikita sa viral video post na iniwan sa loob ng isang nakaparadang SUV na nag-iinuman silang mag-asawa nang mga sandaling iyon.,"Hulyo 10, 2018 9:18am GMT+08:00",https://www.gmanetwork.com/news/balitambayan/balita/659820/ama-ng-batang-iniwan-sa-loob-ng-suv-itinangging-nag-iinuman-silang-mag-asawa-nang-sandaling-iyon/story/
"Mga kumakain ng balut, inararo ng pick-up truck; 1 patay","Isang lalaking kumakain ng balut ang namatay habang limang iba pa ang sugatan matapos silang araruhin ng isang pick-up truck sa Zamboanga City, ayon sa ulat ni Bam Alegre sa Balitanghali nitong Martes.  Kinilala ang driver ng pick-up truck na si Abdel Asis Alfad, na agad namang nahuli ng mga pulis at ngayo'y nahaharap sa reklamong imprudence resulting in homicide and serious physical injuries.  Ayon sa ulat, nag-stopover ang biktimang si Mac Jasyon Astillero, kasama ang ilan pang kabataan, sa gilid ng kalsada para kumain ng balut nang araruhin sila ng humaharurot na pick-up truck.  Nawasak ang harapang bahagi ng sasakyan habang nagkapira-piraso rin ang mga upuan at nagkalat ang basag na bote.  ""Meron tayong victims na anim. Six victims and one of them died instantly. Then, two of them from this place na seriously injured,"" ani Barangay Chairman Hamid Rojas.  Sa ngayon, nagpapagaling pa sa ospital ang mga sugatan.  Nagulat na lang ang tiyahin ni Astillero na si Lucy Montilla nang malaman ang balita.  ""Naubusan na siya ng dugo. Tagal man siya na... kuwan, ng doktor. Naubusan na siya ng dugo,"" ani Montilla.  Depensa ng driver, nawalan ng preno ang minamaneho niyang truck.","Isang lalaking kumakain ng balut ang namatay habang limang iba pa ang sugatan matapos silang araruhin ng isang pick-up truck sa Zamboanga City, ayon sa ulat ni Bam Alegre sa Balitanghali nitong Martes.","Hulyo 10, 2018 1:55pm GMT+08:00",https://www.gmanetwork.com/news/balitambayan/balita/659845/mga-kumakain-ng-balut-inararo-ng-pick-up-truck-1-patay/story/
"2 supplier umano ng shabu ng kilalang tulak sa Novaliches, arestado sa Makati","Timbog ang dalawa umanong supplier ng shabu sa ikinasang follow-up operation ng Novaliches Police Station Drug Enforcement Unit sa Brgy. Rizal Makati City nitong Martes ng gabi.  Dalawampu't limang gramo ng shabu ang binili ng operatiba sa mga target na sina Rizalyn Dela Cruz at Jesert Ralph Oliver.  Nakuha sa kanila ang nasa 50 gramo ng illegal na droga na may street value na P340,000  Depensa ni Dela Cruz, may nagpapabenta lang sa kanya ng shabu habang si Oliver naman ay may nagpabili raw sa kanya ng iligal na droga.  Ayon sa mga pulis, ang dalawang suspect ang supplier ng shabu sa kilalang tulak sa Novaliches na si Maricel Lauryo alias Acel.  Naaresto si Lauryo at dalawang iba pa sa unang buy-bust operation sa Brgy. San Bartolome Quezon City.  Nakuha sa kanila ang limang gramo ng umano’y shabu.  Mahaharap ang mga suspek sa kasong paglabag sa Comprehensive Dangerous Drugs Act of 2002. —",Timbog ang dalawa umanong supplier ng shabu sa ikinasang follow-up operation ng Novaliches Police Station Drug Enforcement Unit sa Brgy. Rizal Makati City nitong Martes ng gabi.,"Hulyo 11, 2018 7:49am GMT+08:00",https://www.gmanetwork.com/news/balitambayan/balita/659980/2-supplier-umano-ng-shabu-ng-kilalang-tulak-sa-novaliches-arestado-sa-makati/story/
"Boracay, bubuksan na sa publiko sa October 26 — Cimatu","Inanunsyo ni Environment Secretary Roy Cimatu nitong Miyerkoles na bubuksan na muli sa publiko ang Boracay Island sa Oktubre 26.    ""I would like to say categorically that we will be opening Boracay on October 26,"" deklara ni Cimatu sa ginanap na pagdinig ng House Committee on Natural Resources.  ""When we started the counting, it was from April 26. But [the rehabilitation] should be made within six months, [or until] October 26 or October 27. But nevertheless, we will open it on October 26,"" dagdag ng kalihim.  Isinara ang Boracay noong Abril matapos tawagin ito ni Pangulong Rodrigo Duterte na tambakan ng dumi.  Nagsagawa ng pagdinig ang Kamara de Representantes kaugnay sa mga ulat na may mga establisimyento na nakatayo sa mga forest areas at maging sa baybayin ng Boracay.  Mula nang isagawa ang rehabilitasyon, sinabi ni Cimatu na malaki na ang ipinagbago ng Boracay.  ""Categorically, I am telling you that Boracay is no longer a cesspool,"" pahayag niya.  Bukod sa ginagawang paglilinis, nilawakan din ang mga daanan at inalis ang mga iligal na estruktura. --",Inanunsyo ni Environment Secretary Roy Cimatu nitong Miyerkoles na bubuksan na muli sa publiko ang Boracay Island sa Oktubre 26.,"Hulyo 11, 2018 7:24pm GMT+08:00",https://www.gmanetwork.com/news/balitambayan/balita/660094/boracay-bubuksan-na-sa-publiko-sa-october-26-cimatu/story/
