title,article_text,article_date,source
"Arawang kaso ng COVID-19, aakyat sa 9K","MANILA, Philippines — May posibilidad na umakyat ng 9,000 ang arawang kaso ng COVID-19 sa katapusan ng Setyembre kasunod ng pagbubukas ng klase sa mga paaralan, ayon sa Department of Health (DOH).,Sinabi ni DOH officer-in-charge Maria Rosario Vergeire, na ang bilang ay base sa kanilang projection mula sa milyun-milyong mag-aaral na sasabak sa “face-to-face classes”.,‘”We agree the probability is there. Based on our projections, which were already updated because of the opening of classes, maaaring tumaas hanggang 9,000 daily cases dito sa bansa pagdating ng end of September hanggang Oktubre,” saad ni Vergeire.,Sinabi pa ng opisyal na ang kilos ng tao ay bumalik na sa sitwasyon bago tumama ang pandemya sa bansa. Kaya naman patuloy ang panawagan niya na sumunod ang lahat sa “minimum public health standards” habang nasa labas ng kanilang bahay.,“Gusto ko lang ipaalam sa mga kababayan, these are projections. Ang projections maaaring mangyari, maaaring hindi mangyari, depende kung matutupad ‘yung mga nilagay natin sa assumptions, which includes mobility, minimum public health standards, pagbabakuna at siyempre ‘yung opening of classes,” giit niya.,Sa kasalukuyan, nasa 3,231 ang arawang average ng COVID-19. Mas mababa ito ng 14% sa sinundang linggo na may average na 3,755.","August 27, 2022  12:00am",https://www.philstar.com/pilipino-star-ngayon/bansa/2022/08/27/2205495/arawang-kaso-ng-covid-19-aakyat-sa-9k
147 pang kaso ng Omicron subvariants,"MANILA, Philippines — Nakapagtala pa ng dagdag na 147 kaso ng Omicron subvariants sa bansa ang Department of Health (DOH) sa pinakabagong genome sequencing nitong Agosto 24.,Kabilang dito ang 139 bagong kaso ng BA.5, anim na kaso ng BA.4, isang kaso ng BA.2.12.1 at isang kaso ng tinawag na “other sublineages”.,Sa mga bagong BA.5 na kaso, karamihan ay natukoy sa Davao region (45), Calabarzon (37) at Soccsksargen (17).,Sa BA.4 na mga kaso, 3 ang mula sa Bicol, 2 sa Soccsksargen at isa sa Davao region.,Natukoy naman ang isang BA.2.12.1 kaso sa Ilocos region, at ang isang ‘other sublineages” ay sa Caraga.","August 27, 2022  12:00am",https://www.philstar.com/pilipino-star-ngayon/bansa/2022/08/27/2205489/147-pang-kaso-ng-omicron-subvariants
DOH inabswelto mga ospital sa 'bentahan ng laman-loob' ng kidnap victims; balita peke raw,"MANILA, Philippines — Tiniyak ng Department of Health (DOH) na hindi nakikisangkot ang mga lehitimong ospital sa Pilipinas sa aniya'y iligal na bentahan ng internal organs sa bansa, ito habang dumarami ang reported na kaso ng kidnapping at pagpatay sa kababaihan at kabataan nitong mga nagdaang linggo at buwan.,Kumakalat kasi ngayon sa social media ang mga ulat na nagagamit daw ng mga sindikato ang mga laman-loob ng mga naturang biktima para sa masamang gawain, ani DOH officer-in-charge Maria Rosario Vergeire, Biyernes.,""Amin din pong napag-alaman noong isang araw na meron daw pong instances na ang mga kababayan natin ay maki-kidnap at kinukuha daw 'yung mga organs nila para ito po ay maibigay doon sa mga nangangailangan,"" sabi ni Vergeire sa isang media forum kanina.,""'Yung mga nagbebenta o 'di kaya po 'yung mga sinasabing naki-kidnap, ito po ay dadaan pa rin sa proseso. Hindi pa rin po 'yan kasiguruhan na porke may organ na kayo eh ikakabit na po sa inyo 'yan ng mga doktor."",""We have ethics committee review for our organ transplant process."",Binabanggit ito ng DOH official ngayong tila sunud-sunod ang kidnapping, patayan atbp. karahasan sa mga kababaihan at bata. Ang ilan diyan naitala sa Bulacan atbp. bahagi ng bansa.,Una nang , ng Commission on Human Rights, Gabriela Women's Party at Sen. Imee Marcos ang serye ng karahasan, bagay na ikinababahala ngayon ng ilan ngayong nagsimula na uli ang face-to-face classes.,Sa kabila nito, naninindigan ang Philippine National Police (PNP) na , sa likod ng mga nabanggit na krimen sa paligid ng Metro Manila at mga kalapit na probinsya.,Giit ng PNP, , ang mga nabanggit at ""manageable"" pa ang sitwasyon sa ngayon.,""Unang-una, 'yun pong mga organ transplant po natin na isinasagawa natin sa ating bansa, hindi po tayo basta-basta tumatanggap ng kahit na anong organ from anybody,"" dagdag pa ni Vergeire.,""Pinag-aaralan pong maigi ng ating mga ospital kung sino ang appropriate na donor ng organs na 'to para doon sa pasyente."",Wika pa niya, merong batas sa Pilipinas na nagsasabing kinakailangang buhay pa ang donor ng mga nasabing organs, maliban na lang sa ilang exemptions.,May proseso rin daw kung saan kinakausap mismo ang donors at iniibestigahang maigi kung talagang may kaugnayan sa pasyente o hindi.,Babala ng DOH, ang maling pagta-transplant ng mga bahagi ng katawan sa mga pasyente ay maaaring magresulta pa sa masamang epekto sa kalusugan kaysa makatulong.,Ilan sa mga una nang nabalitang dinukot at natagpuang patay kamakailan ay ang industrial engineer na si Princess Dianne Dayor mula sa Malolos, Bulacan. Iba pa ito sa kaso nina Josie Bonifacio, Jovelyn Galleno, atbp. ","August 26, 2022  4:00pm",https://www.philstar.com/pilipino-star-ngayon/bansa/2022/08/26/2205332/doh-inabswelto-mga-ospital-sa-bentahan-ng-laman-loob-ng-kidnap-victims-balita-peke-raw
Bigyan ng tsansa ang PS-DBM,"MANILA, Philippines — Umapela si Department of Budget and Management (DBM) Secretary Amenah Pa­ngandaman na bigyan sila ng pagkakataon para aayusin ang sistema sa Procurement Service (PS) sa ilalim ng kaniyang tanggapan matapos itong masangkot sa mga kuwestiyonableng pagbili ng mga kagamitan at iba pang panga­ngailangan ng mga departamento at ahensya ng pamahalaan.,Ang PS-DBM ay una nang kinuwestiyon sa mga kontrobersyal na overprice na pagbili ng mga kagamitan kabilang ang P8.2 bilyong medical supplies tulad ng mga face mask at face shield ng Department of Health (DOH) sa kasagsagan ng COVID-19 pandemic.,Umani rin ng pagbatikos ang PS-DBM sa maanomalyang pagbili ng mga outdated at overpriced laptops ng DepEd na nagkakahalaga ng P2.4 bilyon.,Sa kaniyang pagharap sa House Appropriations Committee sa P5.286 trilyong 2023 national budget, sinabi ni Pangandaman na ang PS-DBM ay may magandang rekord mula 2017 hanggang 2019 sa ilalim ng dating pamumuno ni Sec. Benjamin Diokno kung saan si Pangandaman ay dating Undersecretary dito.,“If you’ll be giving us a chance to at least clean PS-DBM, we will highly be happy with that,” sabi pa ng kalihim., ","August 27, 2022  12:00am",https://www.philstar.com/pilipino-star-ngayon/bansa/2022/08/27/2205491/bigyan-ng-tsansa-ang-ps-dbm
"Brgy., SK elections sa May 2023, isinulong ni Imee","MANILA, Philippines — Inirekomenda ni Senator Imee Marcos na itakda na lamang sa Mayo 2023 ang Barangay at SK Elections bilang pangmatagalang solusyon upang hindi na palaging naipagpapaliban ang BSKE.,Ang suhestyon ng senadora ay kaugnay na rin ng unang sinabi ng Commission on Elections (COMELEC) na aabot sa P17 billion hanggang P18 billion ang magagastos kapag iniurong sa Mayo sa susunod na taon ang halalan mula sa nakatakdang halalang pambarangay sa December 5, 2022.,Iminungkahi ni Marcos na itakda na lamang sa Mayo 2023 ang Barangay at SK Elections subalit dapat ay magawan ng paraan ng COMELEC na mabawasan ang malaking halaga na gagamitin sa halalan.,Paliwanag ng senadora, hindi sa Disyembre kundi isang taon pagkatapos ng national election idaos ang BSKE o sa Mayo 2023 dahil kapag Disyembre ay posibleng abala ang mga lokal na pamahalaan para tapusin ang mga proyekto sa pagtatapos ng taon at mas magastos ito para sa mga estudyante at mga empleyado na kinakailangang umuwi ng Pasko sa mga lugar kung saan rehistrado para lamang makaboto.,Hiniling din ni Marcos na pag-isipan ang komposisyon ng Sangguniang Kabataan sa mga barangay lalo pa at kadalasang nagkukulang ang mga mi­yembro na umaalis para ipagpatuloy ang pag-aaral o kaya naman ay magtrabaho.,Mas mainam umanong magtalaga na lamang ng isang youth kagawad sa bawat barangay, isang youth councilor sa municipal o city level at isang youth member sa kada probinsya.","August 27, 2022  12:00am",https://www.philstar.com/pilipino-star-ngayon/bansa/2022/08/27/2205492/brgy-sk-elections-sa-may-2023-isinulong-ni-imee
"Suplay ng beep cards, kakapusin","MANILA, Philippines — Inaasahang magno-normalize muli ang suplay ng mga beep cards o yaong stored-value cards (SVCs) sa unang bahagi ng 2023.,Ito ang inihayag ni Department of Transportation (DOTr) Undersecretary for Rails Cesar Chavez kahapon kasunod nang nakaambang kakulangan ng beep cards.,Ipinaliwanag ni Chavez na ang problema ay dulot ng shortage ng suplay ng global chip na nag-ugat sa COVID-19 lockdown sa China at kaguluhan sa Ukraine.,Sa pahayag ng DOTr kamakailan, sinabi nitong nabigo ang Beep card provider na AF Payments Inc. (AFPI) na magdeliber ng kinakaila­ngan nilang 75,000 SVCs.,Sa gitna ito nang inaasahang pagtaas ng demand ng beep cards bunsod nang inaasahang pagdami ng mga pasahero ng MRT-3 ngayong unti-unti nang ibinabalik ang face-to-face classes sa bansa.,Tiniyak naman ng DOTr na may mga inilatag na rin silang mga pamamaraan upang tugunan ang problema at maabot ang demand ng commuters para sa contactless cards.,Nakiusap din si Chavez sa publiko na i-share ang kanilang beep cards sa iba upang mabawasan ang epekto ng naturang kakulangan. May mga tao anya na dalawa o tatlo ang Beep cards.","August 26, 2022  12:00am",https://www.philstar.com/pilipino-star-ngayon/bansa/2022/08/26/2205197/suplay-ng-beep-cards-kakapusin
"Presyo ng asin tumaas, pero suplay sapat – DTI","MANILA, Philippines — Idinepensa ng Department of Trade and Industry (DTI) ang pangangailangan ng pagtataas ng presyo ng asin sa mga pamilihan at supermarkets.,Sa Laging Handa public briefing, iginiit ni DTI Undersecretary Ruth Castelo na ang mga gumagawa ng asin ay may anim na taon nang hindi nagtataas ng presyo kaya dapat maintindihan ang ginawang pagtataas ng presyo ng mga ito na kanila namang pinagbigyan.,Batay sa mga ulat, nagtaas ng P0.75 hanggang higit P3.00 ang presyo sa rock salt at iodized salt.,Paliwanag pa ni Castelo hindi kapos ang supply ng locally produced na asin sa bansa kaila­ngan lang talaga may bahagyang taas sa presyo.,Aniya, may apat na malalaking kumpanya ang gumagawa ng asin sa bansa habang mayroon din mga imported kaya hindi magkukulang ang suplay nito.","August 26, 2022  12:00am",https://www.philstar.com/pilipino-star-ngayon/bansa/2022/08/26/2205198/presyo-ng-asin-tumaas-pero-suplay-sapat-dti
"Budget, DepEd execs ginisa sa ‘overpriced’ laptops","MANILA, Philippines — Nagisa ng Senado ang mga opisyal ng Department of Budget and Management (DBM) at Department of Education (DepEd) kaugnay sa pag-apruba nito sa Procurement Service (PS) ng DBM sa pagbili ng umano’y overpriced laptops.,Sa pagdinig ng Senate Blue Ribbon Committee, tinanong ni Sen. Ronald dela Rosa ang DepEd bakit pumayag sa pagbili ng PS-DBM ng P58,000 laptop bawat isa.,Giit ni Dela Rosa, maliwanag sa record na pumayag ang DepEd na bumili ng laptop na mula sa P35,000 ay ginawa itong P58,000.,Paliwanag naman ni dating DepEd secretary Leonor Briones, si DepEd Usec. Alain Pascua ang dapat magpaliwanag dahil siya ang information communications technology chief.,Paliwanag naman ni Pascua na binigyan siya ng PS-DBM ng action slip bago pa ang pagbili kung saan nakasaad dito ang bilang at presyo ng laptops at si ICT Director Abram Abanil din umano ang pumirma sa action slip.,Pinuna naman ni Sen. Alan Peter Ca­yetano ang presyo na P58,000 na kapresyo na anya ng MacBook air at paano na-approved ang entry level nito.,Sa tingin ni Caye­tano, posibleng incompetence o may connivance sa PS-DBM subalit itinanggi naman ni Pascua na inaprubahan niya ang pagbili nito dahil mayroon nang action slip na binigay ang PS-DBM na inayunan ng ICT unit ng DepEd.,Iginiit naman ni Sen. Francis Tolentino, chairman ng komite na base sa mga dokumento, lumalabas na inaprubahan nina Pascua at Abanil ang pagbili ng mga umano’y overpriced laptops.","August 26, 2022  12:00am",https://www.philstar.com/pilipino-star-ngayon/bansa/2022/08/26/2205199/budget-deped-execs-ginisa-sa-overpriced-laptops
DOH ayaw pa sa Iloilo lockdown vs monkeypox ngayong 'local transmission' bineberipika pa,"MANILA, Philippines — Hindi pa napapanahon ang anumang ""lockdown"" sa Lungsod ng Ilolilo laban sa monkeypox sa kabila ng pagkakaroon ng kaso roon na walang travel history sa mga bansang meron nito pati na ang kanyang close contacts, giit ng Department of Health, Huwebes.,Ito ang sabi ng kagawaran kagabi matapos ianunsyo ni DOH officer-in-charge Maria Rosario Vergeire nitong Martes na "","" ang posibilidad ng local transmission ng monkeypox kaugnay ng sitwasyon ng ikaapat na kaso ng Pilipinas sa ngayon.,""[The] DOH does not recommend lockdown due to the confirmation of a fourth case of monkeypox residing in Iloilo,"" sabi ng DOH sa isang pahayag sa media.,""The confirmed case and the identified close contacts are under monitoring and strict quarantine."",Ika-23 ng Agosto nang sabihin ng DOH na umabot na sa 14 ang close contacts ng 25-anyos mula sa Iloilo. ,Lahat sila ay sinasabing wala pang sintomas ng monkeypox at wala rin exposure o kasaysayan ng pagpunta sa mga bansang meron ng kinatatakutan at nakamamatay na sakit.,Nagpapatuloy pa rin naman daw ang pagsasagawa at pagkukumpirma ng contact tracing sa ngayon habang hindi pa 100% natitiyak ang local transmission.,""The Department would also like to reiterate that the verification of their information is crucial as through this, we can clarify and confirm the source of infection,"" banggit pa ng DOH.,""Rest assured that we will be updating once we have all the factual information about the case. Regardless if local transmission is or is not present, the country's preventive measures for Monkeypox will act as if such is happening."",Dati nang , ng mga senador ng 18th Congress si dating Health Secretary Francisco Duque III matapos niyang palagan ang maagang pagpigil sa mga flights mula Tsina noong nagsisimula pa lang ang COVID-19 pandemic noong 2020, bagay na kumalat na sa Pilipinas ngayon.,Matindi ang naging epekto ng COVID-19 lockdowns sa ekonomiya at pagkilos ng publiko sa nakaraang dalawang taon, ang ilan dito dama pa rin hanggang ngayon.,Una nang sinabi ng DOH na kumakalat ang monkeypox kapag nagkadikitan ng balat ang isang meron nito atbp. Pinaaalalahanan ng DOH ang lahat na agad kumunsulta sa mga pagamutan kung biglang makaranas ng lagnat, pamamaga ng kulani at pagkakaroon ng butlig sa balat kung sila'y may nakasalamuhang suspected case.,Ang monkeypox ay hindi tulad ng COVID-19 na kumakalat sa hangin. Dagdag pa nila, kadalasa'y ""mild"" ang sintomas ng monkeypox at bibihirang makamatay — pero nangyayari pa rin. ","August 26, 2022  9:37am",https://www.philstar.com/pilipino-star-ngayon/bansa/2022/08/26/2205248/doh-ayaw-pa-sa-iloilo-lockdown-vs-monkeypox-ngayong-local-transmission-bineberipika-pa
"'Florita' iniwan P33.7-M halagang pinsala sa imprastruktura, P3.4-M sa agrikultura","MANILA, Philippines — Milyung-milyong halaga ng pinsala na ang idinulot ng nagdaang bagyong ""Florita"" sa buong Pilipinas sa ngayon ayon sa  National Disaster Risk Reduction and Management Council (NDRRMC) — ito habang apektadong populasyon lumobo sa 71,468 katao.,Ayon sa ,, Biyernes, umabot na sa P33,700,000 halaga ng damage na ang naidulot ng sama ng panahon sa buong bansa:,Pagdating sa sektor ng agrikultura, pumalo na sa P3.414,672 ang halaga ng production loss o pinsala sa Region 1.,Sinasabing 324 magsasaka at mangingisda na ngayon ang apektado na siyang sumasaklaw sa 633 ektaryang taniman na bahagyang na-damage. Aabot naman na sa 223 metric tons ang volume ng production loss sa ngayon.,Bukod pa sa imprastruktura at agirkultura, aabot naman sa 33 kabahayan ang nasira mula sa Ilocos, Cagayan Valley at Cordillera Administrative Region.,Ganito ang itsura sa ngayon ng mga apektadong populasyon kung titilad-tilarin:,Nakapagbigay naman na ng P6.32 milyong halaga ng tulong sa ngayon para sa mga pamilyang naapektuhan sa Regions 1, 2, 5 at Cordillera.,Kasama na sa mga naipamahagi ang family kits, hygiene kits, family food packs, atbp.,""As of August 25, more than P4.4 million worth of food and non-food items were already sent [by the Department of Social Welfare and Development] to affected localities, with the bulk of assistance worth P3.1 million delivered in Region II,"" wika ng DSWD sa isang pahayag nitong Huwebes.,""The rest were provided in Regions I, III, CALABARZON, and the Cordillera Administrative Region (CAR)."", ","August 26, 2022  10:17am",https://www.philstar.com/pilipino-star-ngayon/bansa/2022/08/26/2205252/florita-iniwan-p337-m-halagang-pinsala-sa-imprastruktura-p34-m-sa-agrikultura
